Sr. No.,Title,Location,No. of Bedrooms,No. of Bathrooms,Total Area (Sq.Ft.),Date of Listing,Price
1487,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,1 Bathroom,1815 Sq.ft Built Up(168.79 Sq.m),"Nov 27, 2024 Available From",₹2.42 Crores
1488,"3 BHK Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",3 Bedrooms,1 Bathroom,1747 Sq.ft Built Up(162.47 Sq.m),"Nov 27, 2024 Available From",₹72.84 Lakhs
1489,"4+ BHK Apartment for Sale in Hebbal, Bangalore","Hebbal, Bangalore",4+ Bedrooms,5 Bathrooms,5092 Sq.ft Built Up(473.56 Sq.m),"Nov 27, 2024 Available From",₹9 Crores
1490,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,1 Bathroom,1016 Sq.ft Built Up(94.49 Sq.m),"Nov 27, 2024 Available From",₹2.19 Crores
1491,"2 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,1 Bathroom,1547 Sq.ft Built Up(143.87 Sq.m),"Nov 27, 2024 Available From",₹2.08 Crores
1492,"3 BHK 1817 Sqft Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1817 Sq.ft Built Up(168.98 Sq.m),"Mar 1, 2028 Available From",₹2.85 Crores
1493,"3 BHK 2650 Sq.ft, Villa for Sale in Hoskote, Bangalore","Hoskote, Bangalore",3 Bedrooms,1 Bathroom,2650 Sq.ft Built Up(246.45 Sq.m),"Jul 30, 2026 Available From",₹2 Crores
1494,"2 BHK 1500 Sqft Villa for Sale in Suryanagar, Bangalore","Suryanagar, Bangalore",2 Bedrooms,2 Bathrooms,1500 Sq.ft Built Up(139.50 Sq.m),"Jan 21, 2025 Available From",₹80 Lakhs
1495,"2 BHK 1423 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,2 Bathrooms,1423 Sq.ft Built Up(132.34 Sq.m),"Aug 20, 2027 Available From",₹1.71 Crores
1496,"3 BHK 1500 Sq.ft, Villa for Sale in Anekal, Bangalore","Anekal, Bangalore",3 Bedrooms,3 Bathrooms,1500 Sq.ft Built Up(139.50 Sq.m),"Dec 31, 2024 Available From",₹1.60 Crores
1497,"4 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",4 Bedrooms,2 Bathrooms,2600 Sq.ft Built Up(241.80 Sq.m),"Nov 27, 2024 Available From",₹2 Crores
1498,"3 BHK Apartment for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",3 Bedrooms,1 Bathroom,1691 Sq.ft Built Up(157.26 Sq.m),"Jan 11, 2026 Available From",₹1.56 Crores
1499,"3 BHK 1817 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1817 Sq.ft Built Up(168.98 Sq.m),"Jan 27, 2025 Available From",₹2.70 Crores
1500,"2 BHK 909 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,2 Bathrooms,909 Sq.ft Built Up(84.54 Sq.m),"Jan 27, 2025 Available From",₹70 Lakhs
1501,"3 BHK 1575 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1575 Sq.ft Built Up(146.47 Sq.m),"Apr 1, 2025 Available From",₹2.36 Crores
1502,"2 BHK 950 Sq.ft, Apartment for Sale in Electronic City Phase I, Bangalore","Electronic City Phase I, Bangalore",2 Bedrooms,2 Bathrooms,950 Sq.ft Built Up(88.35 Sq.m),"Jan 27, 2025 Available From",₹90 Lakhs
1503,"4+ BHK 3889 Sq.ft, Villa for Sale in Hulimavu, Bangalore","Hulimavu, Bangalore",4+ Bedrooms,4 Bathrooms,3889 Sq.ft Built Up(361.68 Sq.m),"Jan 27, 2025 Available From",₹4 Crores
1504,"3 BHK 2025 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,2025 Sq.ft Built Up(188.32 Sq.m),"Jan 28, 2025 Available From",₹2.79 Crores
1505,"1 BHK 540 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",1 Bedroom,1 Bathroom,540 Sq.ft Built Up(50.22 Sq.m),"Dec 1, 2028 Available From",₹42 Lakhs
1506,"1 BHK 666 Sq.ft, Apartment for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",1 Bedroom,1 Bathroom,666 Sq.ft Built Up(61.94 Sq.m),"Apr 4, 2025 Available From",₹85 Lakhs
1507,"2 BHK 1078 Sq.ft, Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",2 Bedrooms,2 Bathrooms,1078 Sq.ft Built Up(100.25 Sq.m),"Jan 27, 2025 Available From",₹1.02 Crores
1508,"4+ BHK 4731 Sq.ft, Villa for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4+ Bedrooms,4 Bathrooms,4731 Sq.ft Built Up(439.98 Sq.m),"Jan 27, 2025 Available From",₹10.50 Crores
1509,"3 BHK 3536 Sq.ft, Apartment for Sale in Hebbal, Bangalore","Hebbal, Bangalore",3 Bedrooms,3 Bathrooms,3536 Sq.ft Built Up(328.85 Sq.m),"Jan 27, 2025 Available From",₹7.50 Crores
1510,"3 BHK 1752 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1752 Sq.ft Built Up(162.94 Sq.m),"Jan 28, 2025 Available From",₹2.45 Crores
1511,"3 BHK 1550 Sq.ft, Apartment for Sale in Kengeri, Bangalore","Kengeri, Bangalore",3 Bedrooms,2 Bathrooms,1550 Sq.ft Built Up(144.15 Sq.m),"Dec 20, 2024 Available From",₹74 Lakhs
1512,"3 BHK 1639 Sq.ft, Apartment for Sale in Bagalur Road, Bangalore","Bagalur Road, Bangalore",3 Bedrooms,1 Bathroom,1639 Sq.ft Built Up(152.43 Sq.m),"Dec 12, 2028 Available From",₹1.37 Crores
1513,"3 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1511 Sq.ft Built Up(140.52 Sq.m),"Nov 14, 2024 Available From",₹1.43 Crores
1514,"3 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,922 Sq.ft Built Up(85.75 Sq.m),"Dec 31, 2027 Available From",₹1.50 Crores
1515,"3 BHK 2500 Sq.ft, Apartment for Sale in Raja Rajeshwari Nagar, Bangalore","Raja Rajeshwari Nagar, Bangalore",3 Bedrooms,2 Bathrooms,2500 Sq.ft Built Up(232.50 Sq.m),"Nov 20, 2024 Available From",₹85 Lakhs
1516,"3 BHK 1930 Sq.ft, Apartment for Sale in Aavalahalli, Bangalore","Aavalahalli, Bangalore",3 Bedrooms,3 Bathrooms,1930 Sq.ft Built Up(179.49 Sq.m),"Jun 30, 2028 Available From",₹2.02 Crores
1517,"3 BHK 1430 Sq.ft, Apartment for Sale in Seegehalli, Bangalore","Seegehalli, Bangalore",3 Bedrooms,3 Bathrooms,1430 Sq.ft Built Up(132.99 Sq.m),"Jan 28, 2025 Available From",₹1.27 Crores
1518,"2 BHK 1100 Sq.ft, Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,1 Bathroom,1100 Sq.ft Built Up(102.30 Sq.m),"Jan 28, 2025 Available From",₹87 Lakhs
1519,"3 BHK 1752 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1752 Sq.ft Built Up(162.94 Sq.m),"Jan 28, 2025 Available From",₹2.45 Crores
1520,"2 BHK 1345 Sq.ft, Apartment for Sale in Chikkavaderapura, Bangalore","Chikkavaderapura, Bangalore",2 Bedrooms,1 Bathroom,1345 Sq.ft Built Up(125.08 Sq.m),"Dec 1, 2029 Available From",₹1.39 Crores
1521,"3 BHK 1948 Sq.ft, Apartment for Sale in JP Nagar Phase 5, Bangalore","JP Nagar Phase 5, Bangalore",3 Bedrooms,3 Bathrooms,1948 Sq.ft Built Up(181.16 Sq.m),"Jan 28, 2025 Available From",₹2.14 Crores
1522,"3 BHK 1872 Sq.ft, Apartment for Sale in Rachenahalli, Bangalore","Rachenahalli, Bangalore",3 Bedrooms,3 Bathrooms,1872 Sq.ft Built Up(174.10 Sq.m),"Oct 16, 2027 Available From",₹2.16 Crores
1523,"3 BHK 2000 Sq.ft, Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",3 Bedrooms,3 Bathrooms,2000 Sq.ft Built Up(186.00 Sq.m),"Jan 28, 2025 Available From",₹2.40 Crores
1524,"3 BHK 1936 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1936 Sq.ft Built Up(180.05 Sq.m),"Jan 28, 2025 Available From",₹1.87 Crores
1525,"4+ BHK 4235 Sq.ft, Apartment for Sale in Off Sarjapur road, Bangalore","Off Sarjapur road, Bangalore",4+ Bedrooms,4 Bathrooms,4235 Sq.ft Built Up(393.86 Sq.m),"Oct 28, 2027 Available From",₹4.20 Crores
1526,"4+ BHK 2616 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4+ Bedrooms,4 Bathrooms,2616 Sq.ft Built Up(243.29 Sq.m),"Dec 27, 2027 Available From",₹4.03 Crores
1527,"4+ BHK 2250 Sq.ft, Villa for Sale in Kanaka Nagar, Bangalore","Kanaka Nagar, Bangalore",4+ Bedrooms,4 Bathrooms,2250 Sq.ft Built Up(209.25 Sq.m),"Mar 1, 2025 Available From",₹2.30 Crores
1528,"2 BHK 1345 Sq. ft Apartment for Sale in Gunjur, Bangalore","Gunjur, Bangalore",2 Bedrooms,2 Bathrooms,1345 Sq.ft Built Up(125.08 Sq.m),"Jul 28, 2027 Available From",₹1.50 Crores
1529,"3 BHK 1400 Sq. ft Apartment for Sale in Harlur, Bangalore","Harlur, Bangalore",3 Bedrooms,3 Bathrooms,1400 Sq.ft Built Up(130.20 Sq.m),"Mar 25, 2025 Available From",₹1.05 Crores
1530,"3 BHK 2400 Sqft Villa for Sale in JP Nagar Phase 2, Bangalore","JP Nagar Phase 2, Bangalore",3 Bedrooms,3 Bathrooms,2400 Sq.ft Built Up(223.20 Sq.m),"Jan 31, 2025 Available From",₹8 Crores
1531,"3 BHK 1030 Sqft Apartment for Sale in Thanisandra, Bangalore","Thanisandra, Bangalore",3 Bedrooms,3 Bathrooms,1030 Sq.ft Built Up(95.79 Sq.m),"Nov 16, 2024 Available From",₹76 Lakhs
1532,"3 BHK 1580 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,1 Bathroom,1580 Sq.ft Built Up(146.94 Sq.m),"Sep 5, 2027 Available From",₹1.80 Crores
1533,"4+ BHK Villa for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4+ Bedrooms,2 Bathrooms,3048 Sq.ft Built Up(283.46 Sq.m),"Nov 25, 2024 Available From",₹3.35 Crores
1534,"2 BHK Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,1 Bathroom,1250 Sq.ft Built Up(116.25 Sq.m),"Nov 26, 2024 Available From",₹1.40 Crores
1535,"3 BHK 2500 Sqft Villa for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",3 Bedrooms,3 Bathrooms,2500 Sq.ft Built Up(232.50 Sq.m),"Jan 21, 2025 Available From",₹57 Lakhs
1536,"3 BHK 1990 Sq. ft Apartment for Sale in Gunjur, Bangalore","Gunjur, Bangalore",3 Bedrooms,3 Bathrooms,1990 Sq.ft Built Up(185.07 Sq.m),"Jul 31, 2027 Available From",₹2.10 Crores
1537,"3 BHK 1409 Sq. ft Apartment for Sale in Subramanyapura, Bangalore","Subramanyapura, Bangalore",3 Bedrooms,3 Bathrooms,1409 Sq.ft Built Up(131.04 Sq.m),"Jan 25, 2025 Available From",₹75 Lakhs
1538,"2 BHK 1105 Sq. ft Apartment for Sale in Chandapura, Bangalore","Chandapura, Bangalore",2 Bedrooms,2 Bathrooms,1105 Sq.ft Built Up(102.77 Sq.m),"Mar 31, 2025 Available From",₹74 Lakhs
1539,"4+ BHK 3375 Sq.ft, Villa for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4+ Bedrooms,4 Bathrooms,3375 Sq.ft Built Up(313.88 Sq.m),"Jul 1, 2025 Available From",₹2.96 Crores
1540,"4+ BHK 4500 Sq.ft, Villa for Sale in Old Madras Road, Bangalore","Old Madras Road, Bangalore",4+ Bedrooms,4 Bathrooms,4500 Sq.ft Built Up(418.50 Sq.m),"Jan 28, 2025 Available From",₹10 Crores
1541,"3 BHK 2070 Sq.ft, Villa for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",3 Bedrooms,3 Bathrooms,2070 Sq.ft Built Up(192.51 Sq.m),"Jan 28, 2025 Available From",₹1.92 Crores
1542,"4+ BHK 2560 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4+ Bedrooms,4 Bathrooms,2560 Sq.ft Built Up(238.08 Sq.m),"Jan 28, 2025 Available From",₹3.51 Crores
1543,"2 BHK 1153 Sqft Apartment for Sale in Hosur Road, Bangalore","Hosur Road, Bangalore",2 Bedrooms,2 Bathrooms,1153 Sq.ft Built Up(107.23 Sq.m),"Jan 17, 2029 Available From",₹1.16 Crores
1544,"2 BHK 1144 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1144 Sq.ft Built Up(106.39 Sq.m),"Dec 18, 2024 Available From",₹85 Lakhs
1545,"4 BHK 3920 Sq.ft, Apartment for Sale in Old Madras Road, Bangalore","Old Madras Road, Bangalore",4 Bedrooms,2 Bathrooms,3920 Sq.ft Built Up(364.56 Sq.m),"Dec 7, 2024 Available From",₹6 Crores
1546,"3 BHK 2000 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,1 Bathroom,2000 Sq.ft Built Up(186.00 Sq.m),"Nov 8, 2024 Available From",₹2.70 Crores
1547,"3 BHK 1970 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1970 Sq.ft Built Up(183.21 Sq.m),"Jan 28, 2025 Available From",₹2.72 Crores
1548,"4+ BHK 3020 Sq.ft, Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",4+ Bedrooms,4 Bathrooms,3020 Sq.ft Built Up(280.86 Sq.m),"Jan 28, 2025 Available From",₹2 Crores
1549,"2 BHK 1200 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,1 Bathroom,1200 Sq.ft Built Up(111.60 Sq.m),"Jan 28, 2025 Available From",₹1.70 Crores
1550,"3 BHK 2000 Sq.ft, Villa for Sale in Anekal, Bangalore","Anekal, Bangalore",3 Bedrooms,3 Bathrooms,2000 Sq.ft Built Up(186.00 Sq.m),"Jan 28, 2025 Available From",₹1.06 Crores
1551,"4+ BHK 3375 Sq.ft, Villa for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4+ Bedrooms,4 Bathrooms,3375 Sq.ft Built Up(313.88 Sq.m),"Jul 1, 2025 Available From",₹2.96 Crores
1552,"4+ BHK 3500 Sq.ft, Villa for Sale in Yeshwanthpur, Bangalore","Yeshwanthpur, Bangalore",4+ Bedrooms,4 Bathrooms,3500 Sq.ft Built Up(325.50 Sq.m),"Jan 28, 2025 Available From",₹2.50 Crores
1553,"4 BHK 3355 Sq.ft, Villa for Sale in Anekal, Bangalore","Anekal, Bangalore",4 Bedrooms,4 Bathrooms,3355 Sq.ft Built Up(312.01 Sq.m),"Oct 26, 2028 Available From",₹5.37 Crores
1554,"3 BHK 2070 Sq.ft, Villa for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",3 Bedrooms,3 Bathrooms,2070 Sq.ft Built Up(192.51 Sq.m),"Jan 28, 2025 Available From",₹1.92 Crores
1555,"3 BHK 1456 Sq.ft, Villa for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1456 Sq.ft Built Up(135.41 Sq.m),"Jan 1, 2026 Available From",₹77 Lakhs
1556,"3 BHK 2200 Sq.ft, Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",3 Bedrooms,3 Bathrooms,2200 Sq.ft Built Up(204.60 Sq.m),"Jan 28, 2025 Available From",₹2.10 Crores
1557,"3 BHK 2200 Sq.ft, Apartment for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",3 Bedrooms,3 Bathrooms,2200 Sq.ft Built Up(204.60 Sq.m),"Jan 28, 2025 Available From",₹1.62 Crores
1558,"3 BHK 1766 Sq.ft, Apartment for Sale in JP Nagar Phase 5, Bangalore","JP Nagar Phase 5, Bangalore",3 Bedrooms,3 Bathrooms,1766 Sq.ft Built Up(164.24 Sq.m),"Jan 28, 2025 Available From",₹1.94 Crores
1559,"3 BHK 1622 Sq.ft, Apartment for Sale in Aavalahalli, Bangalore","Aavalahalli, Bangalore",3 Bedrooms,3 Bathrooms,1622 Sq.ft Built Up(150.85 Sq.m),"Jan 28, 2025 Available From",₹1.62 Crores
1560,"3 BHK 1859 Sq.ft, Apartment for Sale in International Airport Road, Bangalore","International Airport Road, Bangalore",3 Bedrooms,3 Bathrooms,1859 Sq.ft Built Up(172.89 Sq.m),"Dec 30, 2026 Available From",₹2.10 Crores
1561,"3 BHK 2281 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,2281 Sq.ft Built Up(212.13 Sq.m),"Jan 28, 2025 Available From",₹2.20 Crores
1562,"4+ BHK 3760 Sq.ft, Villa for Sale in Sarjapur, Bangalore","Sarjapur, Bangalore",4+ Bedrooms,5 Bathrooms,3760 Sq.ft Built Up(349.68 Sq.m),"Nov 15, 2024 Available From",₹3.50 Crores
1563,"2 BHK 1030 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,1 Bathroom,1030 Sq.ft Built Up(95.79 Sq.m),"Dec 31, 2028 Available From",₹90 Lakhs
1564,"3 BHK 1082 Sq.ft, Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",3 Bedrooms,3 Bathrooms,1082 Sq.ft Built Up(100.63 Sq.m),"Dec 24, 2024 Available From",₹91.97 Lakhs
1565,"4 BHK 3963 Sqft Villa for Sale in Hulimavu, Bangalore","Hulimavu, Bangalore",4 Bedrooms,4 Bathrooms,3963 Sq.ft Built Up(368.56 Sq.m),"Jan 24, 2025 Available From",₹5.32 Crores
1566,"4+ BHK 3500 Sq.ft, Villa for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",4+ Bedrooms,2 Bathrooms,3500 Sq.ft Built Up(325.50 Sq.m),"Jan 31, 2029 Available From",₹2.50 Crores
1567,"4+ BHK 2440 Sq.ft, Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",4+ Bedrooms,4 Bathrooms,2440 Sq.ft Built Up(226.92 Sq.m),"Jan 28, 2025 Available From",₹1.65 Crores
1568,"3 BHK 2281 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,2281 Sq.ft Built Up(212.13 Sq.m),"Jan 28, 2025 Available From",₹2.20 Crores
1569,"3 BHK 2072 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,2072 Sq.ft Built Up(192.70 Sq.m),"Jan 28, 2025 Available From",₹3.95 Crores
1570,"3 BHK 2061 Sq.ft, Apartment for Sale in Hulimavu, Bangalore","Hulimavu, Bangalore",3 Bedrooms,3 Bathrooms,2061 Sq.ft Built Up(191.67 Sq.m),"Jan 28, 2025 Available From",₹3 Crores
1571,"3 BHK 1554 Sq.ft, Apartment for Sale in Hosur Road, Bangalore","Hosur Road, Bangalore",3 Bedrooms,3 Bathrooms,1554 Sq.ft Built Up(144.52 Sq.m),"Jul 22, 2027 Available From",₹1.67 Crores
1572,"2 BHK 870 Sq.ft, Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,1 Bathroom,870 Sq.ft Built Up(80.91 Sq.m),"Dec 30, 2028 Available From",₹1.06 Crores
1573,"3 BHK 1100 Sq.ft, Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",3 Bedrooms,3 Bathrooms,1100 Sq.ft Built Up(102.30 Sq.m),"Dec 30, 2028 Available From",₹1.40 Crores
1574,"3 BHK 1776 Sq.ft, Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",3 Bedrooms,3 Bathrooms,1776 Sq.ft Built Up(165.17 Sq.m),"Jan 28, 2025 Available From",₹3.05 Crores
1575,"4+ BHK 3000 Sq.ft, Apartment for Sale in Bannerghatta Road, Bangalore","Bannerghatta Road, Bangalore",4+ Bedrooms,4 Bathrooms,3000 Sq.ft Built Up(279.00 Sq.m),"Jan 28, 2025 Available From",₹3.68 Crores
1576,"3 BHK 1930 Sq.ft, Apartment for Sale in Aavalahalli, Bangalore","Aavalahalli, Bangalore",3 Bedrooms,3 Bathrooms,1930 Sq.ft Built Up(179.49 Sq.m),"Jun 23, 2027 Available From",₹2.10 Crores
1577,"3 BHK 1970 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1970 Sq.ft Built Up(183.21 Sq.m),"Jan 28, 2025 Available From",₹2.72 Crores
1578,"4+ BHK 3020 Sq.ft, Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",4+ Bedrooms,4 Bathrooms,3020 Sq.ft Built Up(280.86 Sq.m),"Jan 28, 2025 Available From",₹2 Crores
1579,"4+ BHK 2616 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4+ Bedrooms,4 Bathrooms,2616 Sq.ft Built Up(243.29 Sq.m),"Dec 27, 2027 Available From",₹3.85 Crores
1580,"3 BHK 1223 Sq.ft, Apartment for Sale in Mysore Road, Bangalore","Mysore Road, Bangalore",3 Bedrooms,1 Bathroom,1223 Sq.ft Built Up(113.74 Sq.m),"Nov 8, 2024 Available From",₹1.41 Crores
1581,"4+ BHK 3100 Sq.ft, Villa for Sale in Sarjapur Attibele Road, Bangalore","Sarjapur Attibele Road, Bangalore",4+ Bedrooms,2 Bathrooms,3100 Sq.ft Built Up(288.30 Sq.m),"Dec 31, 2025 Available From",₹2.50 Crores
1582,"4 BHK 2660 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",4 Bedrooms,2 Bathrooms,2660 Sq.ft Built Up(247.38 Sq.m),"Sep 30, 2030 Available From",₹3.21 Crores
1583,"4+ BHK 2440 Sq.ft, Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",4+ Bedrooms,4 Bathrooms,2440 Sq.ft Built Up(226.92 Sq.m),"Jan 28, 2025 Available From",₹1.65 Crores
1584,"4 BHK 4205 Sq.ft, Apartment for Sale in Anekal, Bangalore","Anekal, Bangalore",4 Bedrooms,4 Bathrooms,4205 Sq.ft Built Up(391.06 Sq.m),"Jun 15, 2027 Available From",₹7.47 Crores
1585,"3 BHK 2072 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,2072 Sq.ft Built Up(192.70 Sq.m),"Jan 28, 2025 Available From",₹3.95 Crores
1586,"2 BHK 870 Sq.ft, Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,1 Bathroom,870 Sq.ft Built Up(80.91 Sq.m),"Dec 30, 2028 Available From",₹1.06 Crores
1587,"3 BHK 1685 Sq.ft, Apartment for Sale in Chikkavaderapura, Bangalore","Chikkavaderapura, Bangalore",3 Bedrooms,3 Bathrooms,1685 Sq.ft Built Up(156.71 Sq.m),"Dec 1, 2029 Available From",₹1.72 Crores
1588,"2 BHK 1070 Sq.ft, Apartment for Sale in Electronic City Phase I, Bangalore","Electronic City Phase I, Bangalore",2 Bedrooms,1 Bathroom,1070 Sq.ft Built Up(99.51 Sq.m),"Jan 28, 2025 Available From",₹75 Lakhs
1589,"3 BHK 1970 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,1970 Sq.ft Built Up(183.21 Sq.m),"Jan 28, 2025 Available From",₹2.72 Crores
1590,"2 BHK 1293 Sq.ft, Apartment for Sale in Chokkanahalli, Bangalore","Chokkanahalli, Bangalore",2 Bedrooms,1 Bathroom,1293 Sq.ft Built Up(120.25 Sq.m),"Jan 28, 2025 Available From",₹75 Lakhs
1591,"4+ BHK 3020 Sq.ft, Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",4+ Bedrooms,4 Bathrooms,3020 Sq.ft Built Up(280.86 Sq.m),"Jan 28, 2025 Available From",₹2 Crores
1592,"2 BHK 1070 Sq.ft, Apartment for Sale in Electronic City, Bangalore","Electronic City, Bangalore",2 Bedrooms,1 Bathroom,1070 Sq.ft Built Up(99.51 Sq.m),"Jan 28, 2025 Available From",₹75 Lakhs
1593,"2 BHK 1200 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,1 Bathroom,1200 Sq.ft Built Up(111.60 Sq.m),"Jan 28, 2025 Available From",₹1.70 Crores
1594,"4+ BHK 3500 Sq.ft, Villa for Sale in Yeshwanthpur, Bangalore","Yeshwanthpur, Bangalore",4+ Bedrooms,4 Bathrooms,3500 Sq.ft Built Up(325.50 Sq.m),"Jan 28, 2025 Available From",₹2.50 Crores
1595,"2 BHK 883 Sq.ft, Apartment for Sale in Mysore Road, Bangalore","Mysore Road, Bangalore",2 Bedrooms,1 Bathroom,883 Sq.ft Built Up(82.12 Sq.m),"Mar 31, 2028 Available From",₹62.99 Lakhs
1596,"2 BHK 1185 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1185 Sq.ft Built Up(110.20 Sq.m),"Nov 19, 2024 Available From",₹1.11 Crores
1597,"4+ BHK Villa for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",4+ Bedrooms,6 Bathrooms,7794 Sq.ft Built Up(724.84 Sq.m),"Nov 27, 2024 Available From",₹1.40 Crores
1598,"3 BHK 2027 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",3 Bedrooms,3 Bathrooms,2027 Sq.ft Built Up(188.51 Sq.m),"Nov 15, 2024 Available From",₹3.45 Crores
1599,"3 BHK 1877 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1877 Sq.ft Built Up(174.56 Sq.m),"Dec 3, 2028 Available From",₹1.82 Crores
1600,"4+ BHK 2616 Sq.ft, Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4+ Bedrooms,4 Bathrooms,2616 Sq.ft Built Up(243.29 Sq.m),"Dec 27, 2027 Available From",₹3.85 Crores
1601,"3 BHK 1685 Sq.ft, Apartment for Sale in Chikkavaderapura, Bangalore","Chikkavaderapura, Bangalore",3 Bedrooms,3 Bathrooms,1685 Sq.ft Built Up(156.71 Sq.m),"Dec 1, 2029 Available From",₹1.72 Crores
