Sr. No.,Title,Location,No. of Bedrooms,No. of Bathrooms,Total Area (Sq.Ft.),Date of Listing,Price
3182,"4+ BHK 2675 Sq.ft, Villa for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",4+ Bedrooms,5 Bathrooms,2675 Sq.ft Built Up(248.78 Sq.m),"Dec 1, 2027 Available From",₹1.75 Crores
3183,"3 BHK 1437 Sq.ft, Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1437 Sq.ft Built Up(133.64 Sq.m),"Mar 30, 2026 Available From",₹1.63 Crores
3184,"2 BHK 971 Sq.ft, Apartment for Sale in Devanahalli, Bangalore","Devanahalli, Bangalore",2 Bedrooms,2 Bathrooms,971 Sq.ft Built Up(90.30 Sq.m),"Dec 31, 2029 Available From",₹80 Lakhs
3185,"4 BHK 3500 Sq.ft, Villa for Sale in Whitefield, Bangalore","Whitefield, Bangalore",4 Bedrooms,3 Bathrooms,3500 Sq.ft Built Up(325.50 Sq.m),"Jan 25, 2025 Available From",₹3.99 Crores
3186,"2 BHK Apartment for Sale in Srirampura, Bangalore","Srirampura, Bangalore",2 Bedrooms,2 Bathrooms,650 Sq.ft Built Up(60.45 Sq.m),"Oct 22, 2024 Available From",₹62 Lakhs
3187,"2 BHK Apartment for Sale in Whitefield, Bangalore","Whitefield, Bangalore",2 Bedrooms,2 Bathrooms,986 Sq.ft Built Up(91.70 Sq.m),"Oct 22, 2024 Available From",₹94.99 Lakhs
3188,"2 BHK Apartment for Sale in Yeshwanthpur, Bangalore","Yeshwanthpur, Bangalore",2 Bedrooms,2 Bathrooms,1240 Sq.ft Built Up(115.32 Sq.m),"Oct 22, 2024 Available From",₹1.46 Crores
3189,"2 BHK 1356 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore.","Raja Rajeshwari Nagar, Bangalore",2 Bedrooms,2 Bathrooms,1356 Sq.ft Built Up(126.11 Sq.m),"Sep 17, 2024 Available From",₹78.65 Lakhs
3190,"2 BHK 1464 Sqft Apartment for Sale in Sarjapur Road, Bangalore.","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,1464 Sq.ft Built Up(136.15 Sq.m),"Sep 17, 2024 Available From",₹1.11 Crores
3191,"3 BHK 1760 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore.","Raja Rajeshwari Nagar, Bangalore",3 Bedrooms,3 Bathrooms,1760 Sq.ft Built Up(163.68 Sq.m),"Sep 17, 2024 Available From",₹1.20 Crores
3192,"2 BHK 900 Sqft Apartment for Sale in Chikkanagamangala, Bangalore.","Chikkanagamangala, Bangalore",2 Bedrooms,2 Bathrooms,900 Sq.ft Built Up(83.70 Sq.m),"Sep 17, 2024 Available From",₹34.20 Lakhs
3193,"3 BHK Apartment for Sale in Hulimavu, Bangalore","Hulimavu, Bangalore",3 Bedrooms,2 Bathrooms,3071 Sq.ft Built Up(285.60 Sq.m),"Oct 22, 2024 Available From",₹3.12 Crores
3194,"1 BHK 600 Sqft Apartment for Sale in Chikkanagamangala, Bangalore.","Chikkanagamangala, Bangalore",1 Bedroom,1 Bathroom,600 Sq.ft Built Up(55.80 Sq.m),"Sep 17, 2024 Available From",₹22.80 Lakhs
3195,"2 BHK Apartment for Sale in Thanisandra, Bangalore","Thanisandra, Bangalore",2 Bedrooms,2 Bathrooms,1375 Sq.ft Built Up(127.88 Sq.m),"Oct 22, 2024 Available From",₹1.39 Crores
3196,"2 BHK Apartment for Sale in Chansandra, Bangalore","Chansandra, Bangalore",2 Bedrooms,2 Bathrooms,1310 Sq.ft Built Up(121.83 Sq.m),"Oct 22, 2024 Available From",₹1.64 Crores
3197,"4 BHK 1925 Sq.ft, Villa for Sale in Chelekare, Bangalore","Chelekare, Bangalore",4 Bedrooms,4 Bathrooms,1925 Sq.ft Built Up(179.03 Sq.m),"Sep 17, 2024 Available From",₹1.12 Crores
3198,"4 BHK 1981 Sq.ft, Villa for Sale in Siddapura, Bangalore","Siddapura, Bangalore",4 Bedrooms,4 Bathrooms,1981 Sq.ft Built Up(184.23 Sq.m),"Sep 17, 2024 Available From",₹1.16 Crores
3199,"2 BHK 932 Sqft Apartment for Sale in Sarjapur Road, Bangalore.","Sarjapur Road, Bangalore",2 Bedrooms,2 Bathrooms,932 Sq.ft Built Up(86.68 Sq.m),"Sep 17, 2024 Available From",₹46.60 Lakhs
3200,"2 BHK 1552 Sqft Apartment for Sale in Raja Rajeshwari Nagar, Bangalore.","Raja Rajeshwari Nagar, Bangalore",2 Bedrooms,2 Bathrooms,1552 Sq.ft Built Up(144.34 Sq.m),"Sep 17, 2024 Available From",₹90.02 Lakhs
3201,"3 BHK 1490 Sqft Apartment for Sale in Sarjapur Road, Bangalore","Sarjapur Road, Bangalore",3 Bedrooms,3 Bathrooms,1490 Sq.ft Built Up(138.57 Sq.m),"Nov 19, 2024 Available From",₹1.65 Crores
